Frage;Jahr in dem der Film/die Serie erstmalige erschien;Lösung (Name Film oder Serie)
Welcher Film zeigt die Abenteuer eines Piratenkapitäns namens Jack Sparrow?;2003;Fluch der Karibik
Welche Serie zeigt den Alltag im fiktiven 99. Revier der New Yorker Polizei?;2013;Brooklyn Nine-Nine
Wie heißt der Film, in dem ein junges Mädchen in eine Welt voller Geister und Götter gerät?;2001;Chihiros Reise ins Zauberland
In welcher Serie geht es um den blinden Anwalt Matt Murdock, der nachts Verbrecher jagt?;2015;Daredevil
Welcher Film erzählt die Geschichte von Mozart und seinem Rivalen Salieri?;1984;Amadeus
Welche Serie handelt von zwei Brüdern, die Dämonen und andere übernatürliche Wesen jagen?;2005;Supernatural
In welchem Film plant eine Gruppe von Schurken unter der Führung von Danny Ocean einen Casino-Raub?;2001;Ocean's Eleven
Wie heißt die Serie über einen sarkastischen, aber brillanten Diagnostiker im Krankenhaus?;2004;Dr. House
Welcher Film spielt in einer dystopischen Zukunft, in der Jugendliche in einer Arena bis zum Tod kämpfen?;2012;Die Tribute von Panem – The Hunger Games
Welche Serie erzählt die Geschichte des kolumbianischen Drogenbarons Pablo Escobar?;2015;Narcos
In welchem Film wird ein Reporter in einer Zeitschleife am Murmeltiertag gefangen?;1993;Und täglich grüßt das Murmeltier
Wie heißt die Serie über vier Frauen, die in der Wisteria Lane leben?;2004;Desperate Housewives
Welcher Film zeigt die Entstehung des sozialen Netzwerks Facebook?;2010;The Social Network
Welche Serie folgt den Abenteuern eines exzentrischen Zeitreisenden in einer blauen Polizeinotrufzelle?;1963;Doctor Who
In welchem Film jagt ein Blade Runner abtrünnige Replikanten?;1982;Blade Runner
"Wie heißt die Serie über den Alltag im Krankenhaus ""Sacred Heart"" mit J.D. und Turk?";2001;Scrubs – Die Anfänger
Welcher Film dreht sich um eine Gruppe von Superhelden, die New York vor Loki verteidigen?;2012;Marvel's The Avengers
Welche Serie handelt von einem Finanzberater, der Geld für ein Drogenkartell in den Ozarks wäscht?;2017;Ozark
In welchem Film freunden sich ein Querschnittsgelähmter und sein Pfleger an?;2011;Ziemlich beste Freunde
Wie heißt die Sitcom über das Leben des jungen Will Smith in Bel-Air?;1990;Der Prinz von Bel-Air
Welcher Film zeigt eine Zukunft, in der ein Müllroboter die Erde aufräumt und sich verliebt?;2008;WALL-E
Welche Serie dreht sich um den Aufstieg und Fall von König Ragnar Lodbrok?;2013;Vikings
In welchem Film flüchtet ein Mann aus einem Hochsicherheitsgefängnis, nachdem er unschuldig für Mord verurteilt wurde?;1994;Die Verurteilten
Wie heißt die Serie über das chaotische Familienleben der Familie Gallagher in Chicago?;2011;Shameless
Welcher Film zeigt die Geschichte einer Prinzessin mit magischen Eis-Kräften?;2013;Die Eiskönigin – Völlig unverfroren
Welche Serie handelt von Hacker Elliot Alderson und der Gruppe fsociety?;2015;Mr. Robot
In welchem Film kämpfen die Rebellen gegen das Imperium auf dem Eisplaneten Hoth?;1980;Star Wars: Episode V – Das Imperium schlägt zurück
Wie heißt die Serie, in der Mütter in ein Mordkomplott in der kalifornischen Stadt Monterey verwickelt werden?;2017;Big Little Lies
Welcher Film dreht sich um eine Ballett-Tänzerin, die langsam den Verstand verliert?;2010;Black Swan
Welche Serie zeigt das Leben von Teenagern in der fiktiven Stadt Capeside?;1998;Dawson's Creek
In welchem Film tanzen John Travolta und Uma Thurman in einem Diner im Stil der 50er Jahre?;1994;Pulp Fiction
Wie heißt die deutsche Serie über die Berliner Unterwelt und einen Clan-Chef namens Toni Hamady?;2017;4 Blocks
Welcher Film handelt von einem sprechenden Bären aus Peru, der nach London zieht?;2014;Paddington
Welche Comedy-Serie begleitet den Alltag eines exzentrischen Familienvaters namens Hal und seinen Söhnen?;2000;Malcolm mittendrin
In welchem Film verliebt sich ein stummes Reinigungspersonal in ein amphibisches Humanoid-Wesen?;2017;Shape of Water – Das Flüstern des Wassers
Wie heißt die Serie über die politische Karriere des skrupellosen Frank Underwood?;2013;House of Cards
"Welcher Film zeigt eine Gruppe von Schülern, die in einem Nachsitzraum zusammenkommen und als ""Breakfast Club"" bekannt werden?";1985;The Breakfast Club
Welche Serie erzählt von der Freundschaft und Rivalität in einem Karate-Dojo Jahrzehnte nach einem großen Turnier?;2018;Cobra Kai
In welchem Film reist ein Teenager mit einem DeLorean zurück ins Jahr 1955?;1985;Zurück in die Zukunft
Wie heißt die Serie über die Abenteuer der Crew der USS Enterprise unter Captain Kirk?;1966;Raumschiff Enterprise (Star Trek)
Welcher Film zeigt den grausamen Alltag in einem Ausbildungslager der Marines und später in Vietnam?;1987;Full Metal Jacket
Welche Serie begleitet den Alltag von Polizisten in Baltimore und zeigt die Perspektive der Straßengangs?;2002;The Wire
In welchem Film wird ein kleiner Fisch von einem Pelikan in einen Zahnarzt-Schrank gebracht?;2003;Findet Nemo
Wie heißt die Serie, in der ein Kopfgeldjäger-Trio durchs All reist, begleitet von einem Corgi?;1998;Cowboy Bebop
Welcher Film handelt von einem Mathematik-Genie, das als Hausmeister am MIT arbeitet?;1997;Good Will Hunting
Welche Serie zeigt das Leben in einem US-Frauengefängnis aus der Sicht von Piper Chapman?;2013;Orange Is the New Black
In welchem Film baut ein Vater ein Baseballfeld in seinem Maisfeld?;1989;Feld der Träume
Wie heißt die Mockumentary-Serie über eine chaotische Parks-and-Recreation-Behörde in Pawnee?;2009;Parks and Recreation
Welcher Film handelt von zwei Auftragskillern, einem Boxer und einem Koffer mit unbekanntem Inhalt?;1994;Pulp Fiction
Welche Serie dreht sich um eine Familie von Superhelden, die nach dem Tod ihres Adoptivvaters wieder zusammenkommt?;2019;The Umbrella Academy
In welchem Film kämpft ein blinder Samurai im feudalen Japan gegen eine Gruppe von Kriegern?;1962;Zatoichi
Wie heißt die Miniserie über die Nuklearkatastrophe von 1986?;2019;Chernobyl
Welcher Film zeigt einen stummen Außerirdischen, der durch Musik mit den Menschen kommuniziert?;1977;Unheimliche Begegnung der dritten Art
Welche Serie spielt in einem exklusiven Ferienresort und zeigt die dunklen Geheimnisse von Gästen und Angestellten?;2021;The White Lotus
In welchem Film entdeckt ein Mann, dass sein gesamtes Leben eine Fernsehsendung ist?;1998;Die Truman Show
Wie heißt die Serie über einen unfreiwilligen Helden, der mit einer Kettensäge anstelle einer Hand gegen Dämonen kämpft?;2015;Ash vs Evil Dead
Welcher Film handelt von der Jagd nach einem Serienkiller, der seine Morde an den sieben Todsünden orientiert?;1995;Sieben
Frage;Jahr in dem der Film/die Serie erstmalige erschien;Lösung (Name Film oder Serie)
Welcher Film handelt von der Rettung tausender jüdischer Fabrikarbeiter durch einen deutschen Unternehmer?;1993;Schindlers Liste
In welcher Serie sucht der Mafiaboss Tony regelmäßig eine Psychiaterin auf?;1999;Die Sopranos
Welcher Film spielt auf dem Mond Pandora, wo Menschen mithilfe genetisch veränderter Körper mit den Na'vi interagieren?;2009;Avatar – Aufbruch nach Pandora
In welcher Serie erzählt Ted Mosby seinen Kindern die langwierige Geschichte, wie er ihre Mutter kennengelernt hat?;2005;How I Met Your Mother
Wie heißt der Actionfilm, in dem der New Yorker Polizist John McClane das Nakatomi Plaza vor Terroristen rettet?;1988;Stirb langsam
Welche Serie begleitet die FBI-Agenten Mulder und Scully bei der Untersuchung paranormaler Phänomene?;1993;Akte X – Die unheimlichen Fälle des FBI
"Welcher Film beinhaltet die berühmte Regel: ""Ihr verliert kein Wort über den...""?";1999;Fight Club
Wie heißt der deutsche Filmklassiker, der das klaustrophobische Leben der Besatzung in einem U-Boot im Zweiten Weltkrieg zeigt?;1981;Das Boot
"In welcher spanischen Serie plant der ""Professor"" mit seinem Team den größten Raubüberfall der Geschichte?";2017;Haus des Geldes (La Casa de Papel)
Welcher Film bildet den epischen Abschluss der Fantasy-Trilogie, in der Frodo den Schicksalsberg erreicht?;2003;Der Herr der Ringe: Die Rückkehr des Königs
"Welche als ""Show über nichts"" bekannte Sitcom dreht sich um einen Stand-up-Comedian und seine drei Freunde in New York?";1989;Seinfeld
In welchem Sci-Fi-Horrorfilm kämpft Ellen Ripley an Bord des Raumschiffs Nostromo gegen ein tödliches außerirdisches Wesen?;1979;Alien – Das unheimliche Wesen aus einer fremden Welt
In welcher Serie untersucht FBI-Agent Dale Cooper den Mord an der Schülerin Laura Palmer in einer mysteriösen Kleinstadt?;1990;Twin Peaks
Welcher Animationsfilm erzählt von einem alten Mann, der sein Haus mit tausenden Luftballons an den Himmel bindet?;2009;Oben
Welche Serie basiert auf einem Videospiel und zeigt Joel und Ellie auf ihrer Reise durch ein postapokalyptisches Amerika?;2023;The Last of Us
"Welcher Film von Steven Spielberg begründete das Konzept des ""Sommer-Blockbusters"" und handelt von einem gigantischen weißen Hai?";1975;Der weiße Hai
In welcher südkoreanischen Serie riskieren hochverschuldete Menschen ihr Leben bei tödlichen Kinderspielen?;2021;Squid Game
Wie heißt der Thriller von Alfred Hitchcock mit der berühmten Duschszene im Bates Motel?;1960;Psycho
Welche Serie handelt von dem mutierten Monsterjäger Geralt von Riva?;2019;The Witcher
Welcher südkoreanische Film gewann als erster nicht-englischsprachiger Film den Oscar als Bester Film?;2019;Parasite
Wie heißt das Spin-off/Prequel zu Breaking Bad, das sich um den Anwalt Jimmy McGill dreht?;2015;Better Call Saul
Welcher Actionfilm zeigt eine atemberaubende Verfolgungsjagd durch die Wüste mit Tom Hardy und Charlize Theron in den Hauptrollen?;2015;Mad Max: Fury Road
Welche Animationsserie handelt von den interdimensionalen Abenteuern eines genialen, aber alkoholkranken Wissenschaftlers und seines Enkels?;2013;Rick and Morty
In welchem Sci-Fi-Film spielt Bruce Willis den Taxifahrer Korben Dallas, der Leeloo beschützen muss?;1997;Das fünfte Element
Wie heißt die Zeichentrickserie, in der der Pizzabote Fry versehentlich ins Jahr 3000 eingefroren wird?;1999;Futurama
Welcher Film handelt von einem wortkargen Auftragskiller, der sich um das Nachbarsmädchen Mathilda kümmert?;1994;Léon – Der Profi
In welcher Anthologie-Krimiserie ermitteln in der ersten Staffel Matthew McConaughey und Woody Harrelson in Louisiana?;2014;True Detective
Welcher Animationsfilm führt Miles Morales als neuen Superhelden ein und spielt mit dem Konzept des Multiversums?;2018;Spider-Man: A New Universe
Welche britische Sci-Fi-Serie beleuchtet in unabhängigen Episoden die dunklen Seiten von Technologie und Gesellschaft?;2011;Black Mirror
Welcher Film zeigt Astronauten, die durch ein Wurmloch reisen, um eine neue Heimat für die Menschheit zu finden?;2014;Interstellar
In welcher Serie wird eine Gruppe korrupter und rücksichtsloser Superhelden von einer geheimen Einheit bekämpft?;2019;The Boys
"Welcher Filmklassiker mit Humphrey Bogart spielt im Zweiten Weltkrieg in ""Rick's Café Américain""?";1942;Casablanca
Wie heißt der Thriller, in dem die FBI-Agentin Clarice Starling den inhaftierten Kannibalen Hannibal Lecter um Hilfe bittet?;1991;Das Schweigen der Lämmer
Welche Serie handelt von einer jüdischen Hausfrau in den 1950ern, die eine Karriere als Stand-up-Comedian startet?;2017;The Marvelous Mrs. Maisel
Welcher französische Film handelt von einer Kellnerin in Montmartre, die heimlich das Leben ihrer Mitmenschen verbessert?;2001;Die fabelhafte Welt der Amélie
In welcher Comedy-Serie versucht Michael Bluth, seine exzentrische, bankrotte Familie zusammenzuhalten?;2003;Arrested Development
Welcher Film zeigt die düstere Ursprungsgeschichte von Batmans größtem Erzfeind, gespielt von Joaquin Phoenix?;2019;Joker
Welche Serie dreht sich um eine bunte Lerngruppe an einem fiktiven Community College in Colorado?;2009;Community
"Welcher Kultfilm der Coen-Brüder handelt von einem entspannten Bowling-Fan, der nur ""der Dude"" genannt wird?";1998;The Big Lebowski
In welcher von Phoebe Waller-Bridge geschaffenen Serie bricht die Protagonistin regelmäßig die vierte Wand?;2016;Fleabag
In welchem Horrorfilm verliert Jack Torrance, gespielt von Jack Nicholson, in einem abgelegenen Hotel den Verstand?;1980;Shining
Welche Krimiserie, inspiriert von einem Film der Coen-Brüder, erzählt in jeder Staffel eine neue blutige Geschichte im verschneiten Mittleren Westen?;2014;Fargo
Welcher Mafia-Film von Martin Scorsese basiert auf dem Leben des Gangsters Henry Hill?;1990;GoodFellas – Drei Jahrzehnte in der Mafia
In welcher Serie besuchen wohlhabende Gäste einen futuristischen Vergnügungspark, der von lebensechten Androiden bevölkert wird?;2016;Westworld
Welcher Studio-Ghibli-Film handelt vom Konflikt zwischen der Natur, repräsentiert durch Götter, und den Menschen?;1997;Prinzessin Mononoke
Welche historische Dramaserie folgt dem Leben der britischen Adelsfamilie Crawley und ihrer Dienerschaft?;2010;Downton Abbey
Welcher Filmkomödie jagt ein Team von Parapsychologen in New York übernatürliche Wesen?;1984;Ghostbusters – Die Geisterjäger
Welche Animationsserie handelt von einem depressiven, ehemals berühmten Schauspieler, der ein anthropomorphes Pferd ist?;2014;BoJack Horseman
In welchem Action-Sequel muss ein umprogrammierter Cyborg den jungen John Connor vor dem hochentwickelten T-1000 beschützen?;1991;Terminator 2 – Tag der Abrechnung
Welche Mockumentary-Serie begleitet den Alltag der Patchwork-Familie Pritchett-Dunphy-Tucker?;2009;Modern Family
"Welcher Film belebt das ""Jurassic Park""-Franchise mit einem voll funktionsfähigen Saurier-Park, aus dem der Indominus Rex ausbricht?";2015;Jurassic World
In welcher Actionserie erlebt der Agent Jack Bauer Ereignisse in Echtzeit, wobei jede Staffel genau 24 Stunden umfasst?;2001;24
Welcher Film erzählt seine Geschichte rückwärts und handelt von einem Mann mit Kurzzeitgedächtnisverlust, der den Mord an seiner Frau rächen will?;2000;Memento
Welche Serie dreht sich um einen fiktiven Motorradclub in der kalifornischen Kleinstadt Charming?;2008;Sons of Anarchy
Welcher Film schickt Harrison Ford und Sean Connery gemeinsam auf die Suche nach dem Heiligen Gral?;1989;Indiana Jones und der letzte Kreuzzug
In welcher dystopischen Serie werden fruchtbare Frauen in der Republik Gilead als Leihmütter versklavt?;2017;The Handmaid's Tale – Der Report der Magd
"Wie heißt der erste Teil des Quentin-Tarantino-Zweiteilers, in dem die ""Braut"" Rache an ihren ehemaligen Kollegen nimmt?";2003;Kill Bill – Volume 1
Welche Wohlfühl-Serie handelt von den wortgewandten Mutter und Tochter Lorelai und Rory in der Kleinstadt Stars Hollow?;2000;Gilmore Girls
Welcher Animationsfilm macht die Emotionen Freude, Kummer, Angst, Wut und Ekel im Kopf eines jungen Mädchens zu den Hauptcharakteren?;2015;Alles steht Kopf
In welcher Thriller-Serie untersucht eine bipolare CIA-Agentin, ob ein heimgekehrter US-Soldat ein Terrorist geworden ist?;2011;Homeland
Welcher Superhelden-Film von Sam Raimi mit Tobey Maguire startete den modernen Boom der Comic-Verfilmungen im 21. Jahrhundert?;2002;Spider-Man
Welche Serie zeigt den stressigen Alltag in der Küche eines Sandwich-Ladens in Chicago, der von einem Spitzenkoch übernommen wird?;2022;The Bear: King of the Kitchen
In welchem Film spielt Leonardo DiCaprio den brillanten Hochstapler Frank Abagnale Jr., der vom FBI gejagt wird?;2002;Catch Me If You Can
Welche Anwaltsserie dreht sich um Harvey Specter und sein brillantes Protegé Mike Ross, der gar keinen Abschluss in Harvard hat?;2011;Suits
Welcher Film mit Tom Hanks spielt im Todestrakt eines Gefängnisses, in dem ein Insasse wundersame Heilkräfte besitzt?;1999;The Green Mile
In welcher Serie verlässt der Herrscher der Hölle sein Reich, um in Los Angeles einen Nachtclub zu betreiben und der Polizei zu helfen?;2016;Lucifer
Welcher Film von Quentin Tarantino spielt im besetzten Frankreich und zeigt eine Gruppe jüdisch-amerikanischer Soldaten auf Nazijagd?;2009;Inglourious Basterds
Welche komplexe Sci-Fi-Serie handelt von politischen Spannungen zwischen der Erde, dem Mars und dem Asteroidengürtel?;2015;The Expanse
Welcher ästhetisch markante Film von Wes Anderson spielt in einem berühmten europäischen Hotel der Zwischenkriegszeit?;2014;Grand Budapest Hotel
Welche Serie von Shonda Rhimes spielt in der Londoner High Society des 19. Jahrhunderts und ist für ihre modernen Popmusik-Cover bekannt?;2020;Bridgerton
Welcher Zeichentrickfilm erzählt von einem jungen Mädchen, das sich als Mann ausgibt, um in der chinesischen Armee zu kämpfen?;1998;Mulan
In welcher Serie lässt sich ein genialer Statiker absichtlich inhaftieren, um seinen unschuldigen Bruder aus dem Gefängnis zu befreien?;2005;Prison Break
Welcher Film mit der berühmten Guy-Fawkes-Maske handelt von einem maskierten Freiheitskämpfer im totalitären Großbritannien?;2005;V wie Vendetta
Welche Jugendserie handelt vom skandalösen Leben der Elite-Teenager an der Upper East Side von New York City?;2007;Gossip Girl
Welcher Gangsterfilm von Guy Ritchie verstrickt einen illegalen Boxpromoter und russische Mafiosi in die Jagd nach einem riesigen Diamanten?;2000;Snatch – Schweine und Diamanten
Welche Serie befasst sich mit den globalen Folgen des plötzlichen und unerklärlichen Verschwindens von 2 % der Weltbevölkerung?;2014;The Leftovers
In welchem Film infiltriert ein Polizist die Mafia in Boston, während ein Mafiablutegel gleichzeitig die Polizei unterwandert?;2006;Departed – Unter Feinden
"Welche Serie zeigt eine Schülerin, die als ""Jägerin"" vorherbestimmt ist, gegen Vampire und Dämonen zu kämpfen?";1997;Buffy – Im Bann der Dämonen
Welcher Film erzählt die Geschichte eines jungen Mannes aus den Slums von Mumbai, der an einer berühmten Quizshow teilnimmt?;2008;Slumdog Millionär
In welcher britischen Sitcom arbeiten Roy, Moss und Jen in der vernachlässigten IT-Abteilung eines großen Unternehmens?;2006;The IT Crowd
Welcher Film zeigt den exzessiven Aufstieg und Fall des Börsenmaklers Jordan Belfort?;2013;The Wolf of Wall Street
Welche Neo-Western-Serie begleitet die Familie Dutton bei der Verteidigung ihrer riesigen Ranch in Montana?;2018;Yellowstone
Welcher Film mit Jack Nicholson spielt in einer psychiatrischen Einrichtung und thematisiert den Konflikt mit der tyrannischen Oberschwester Ratched?;1975;Einer flog über das Kuckucksnest
Welche derbe Zeichentrickserie begleitet die Abenteuer der Viertklässler Stan, Kyle, Cartman und Kenny in Colorado?;1997;South Park
Welcher Film von Darren Aronofsky zeigt die schonungslose und tragische Abwärtsspirale von vier Menschen in die Drogensucht?;2000;Requiem for a Dream
In welcher Serie reist die britische Krankenschwester Claire Randall versehentlich durch Steinkreise vom Jahr 1945 ins schottische Jahr 1743?;2014;Outlander
Welcher dystopische Film von Stanley Kubrick begleitet den jugendlichen Gewalttäter Alex DeLarge, der einer umstrittenen Therapie unterzogen wird?;1971;A Clockwork Orange
Welche Serie porträtiert die brutalen und korrupten Taktiken einer polizeilichen Spezialeinheit (Strike Team) in Los Angeles?;2002;The Shield – Gesetz der Gewalt
Welcher Animationsfilm erzählt von dem jungen Miguel, der am Tag der Toten versehentlich ins Land der Toten reist?;2017;Coco – Lebendiger als das Leben!
In welcher Serie beginnen zwei FBI-Agenten in den späten 1970er Jahren, inhaftierte Serienmörder zu interviewen, um deren Psychologie zu verstehen?;2017;Mindhunter
Welcher Pixar-Film begleitet eine Ratte namens Remy, die davon träumt, ein Chefkoch in Paris zu werden?;2007;Ratatouille
Welche Dramaserie dreht sich um den Kleinstadt-Football und das Team der Dillon Panthers in Texas?;2006;Friday Night Lights
"Welcher Film startete das berühmteste Weltraum-Franchise der Welt mit den Worten: ""Es war einmal vor langer Zeit in einer weit, weit entfernten Galaxis...""?";1977;Star Wars: Episode IV – Eine neue Hoffnung
"In welcher Comedy-Serie erwacht Eleanor Shellstrop nach ihrem Tod im vermeintlich paradiesischen ""Guten Ort""?";2016;The Good Place
Welcher Film zeigt den intensiven und teils missbräuchlichen Konflikt zwischen einem jungen Jazz-Schlagzeuger und seinem tyrannischen Musiklehrer?;2014;Whiplash
In welcher britischen Krimiserie ermitteln Alec Hardy und Ellie Miller im Fall eines ermordeten Jungen in einer fiktiven Küstenstadt?;2013;Broadchurch
Welches Sci-Fi-Sequel zeigt den Officer K (Ryan Gosling), der ein lange gehütetes Geheimnis aufdeckt, das die Gesellschaft ins Chaos stürzen könnte?;2017;Blade Runner 2049
Wie heißt die Serie um vier ehemalige Soldaten, die fälschlicherweise eines Verbrechens beschuldigt wurden und nun als Söldner Menschen in Not helfen?;1983;Das A-Team
Welcher Marvel-Film begleitet eine Gruppe intergalaktischer Krimineller um Star-Lord, die widerwillig das Universum retten müssen?;2014;Guardians of the Galaxy
In welcher Actionserie löst der Protagonist komplexe Probleme mit Alltagsgegenständen und seinem Schweizer Taschenmesser, statt mit Waffen?;1985;MacGyver
Welcher Film von Christopher Nolan erzählt von der bitteren Rivalität zweier Bühnenmagier im London des späten 19. Jahrhunderts?;2006;Prestige – Die Meister der Magie
Welcher Schauspieler spielte die Rolle des Iron Man / Tony Stark im Marvel Cinematic Universe?;2008;Robert Downey Jr.
In welcher Serie spielt Bryan Cranston den Chemielehrer Walter White?;2008;Breaking Bad
Welche Schauspielerin verkörperte die Rolle der Katniss Everdeen in der Panem-Reihe?;2012;Jennifer Lawrence
Welcher Film handelt von einem Teddybären, der lebendig wird und mit Mark Wahlberg befreundet ist?;2012;Ted
"Wer spielte die Rolle des Captain Jack Sparrow in ""Fluch der Karibik""?";2003;Johnny Depp
In welcher Sitcom spielt Kaley Cuoco die Rolle der Penny?;2007;The Big Bang Theory
"Welcher Schauspieler verkörperte den Joker im Film ""The Dark Knight""?";2008;Heath Ledger
In welcher Serie spielt Benedict Cumberbatch eine moderne Version eines berühmten Detektivs?;2010;Sherlock
Welcher Film zeigt Leonardo DiCaprio als Börsenmakler Jordan Belfort?;2013;The Wolf of Wall Street
"Wer spielte die Rolle der Hermine Granger in den ""Harry Potter""-Filmen?";2001;Emma Watson
In welcher Serie ist Henry Cavill als Geralt von Riva zu sehen?;2019;The Witcher
"Welcher Schauspieler spielte die Hauptrolle im Film ""Gladiator""?";2000;Russell Crowe
"In welcher Serie spielt Millie Bobby Brown das Mädchen ""Elf"" (Eleven)?";2016;Stranger Things
"Wer verkörperte James Bond im Film ""Casino Royale""?";2006;Daniel Craig
In welcher Comedy-Serie spielt Steve Carell den Chef Michael Scott?;2005;The Office (US)
Welcher Schauspieler spielte die Rolle des Wolverine in den X-Men-Filmen?;2000;Hugh Jackman
In welcher Serie spielt Claire Foy die junge Queen Elizabeth II.?;2016;The Crown
Welcher Film handelt von der Jagd nach einem weißen Hai vor der Insel Amity?;1975;Der weiße Hai
"Wer spielte die Rolle des Neo in der ""Matrix""-Trilogie?";1999;Keanu Reeves
In welcher Serie spielt Kit Harington die Rolle des Jon Schnee?;2011;Game of Thrones
"Welche Schauspielerin spielte die Rolle der Mia Wallace in ""Pulp Fiction""?";1994;Uma Thurman
In welcher Serie spielt Jason Sudeikis einen US-Coach in einem englischen Fußballclub?;2020;Ted Lasso
Wer spielte die Rolle des Forrest Gump im gleichnamigen Film?;1994;Tom Hanks
In welcher Serie spielt Elisabeth Moss die Magd Desfred (Offred)?;2017;The Handmaid's Tale
Welcher Schauspieler verkörperte Thor im gleichnamigen Marvel-Film?;2011;Chris Hemsworth
In welcher Serie spielt Neil Patrick Harris den Frauenhelden Barney Stinson?;2005;How I Met Your Mother
"Wer spielte die Hauptrolle in dem Film ""John Wick""?";2014;Keanu Reeves
In welcher Serie spielt Cillian Murphy den Gangsterboss Thomas Shelby?;2013;Peaky Blinders
"Welche Schauspielerin spielte ""Maleficent"" im gleichnamigen Disney-Realfilm?";2014;Angelina Jolie
In welcher Serie spielt Rami Malek den Hacker Elliot Alderson?;2015;Mr. Robot
"Wer spielte die Rolle des Han Solo im ersten ""Star Wars""-Film?";1977;Harrison Ford
