Nr.;Frage;Antwort;Schwierigkeit
205;Was versteht man unter Sautieren?;Kurzbraten bei hoher Hitze unter Schwenken;Mittel
206;Wie nennt man den schweren, meist gusseisernen Topf mit Deckel?;Dutch Oven (oder Bräter);Mittel
207;Was ist ein Chinois?;Ein feines, spitzzulaufendes Haarsieb;Schwer
208;Welches Material leitet Hitze beim Kochgeschirr am besten?;Kupfer;Mittel
209;Was ist eine Flotte Lotte?;Ein mechanisches Passiergerät;Mittel
210;Wie nennt man das Messer, das speziell zum Entbeinen von Fleisch dient?;Ausbeinmesser;Mittel
211;Welcher französische Koch gilt als König der Köche und Begründer der modernen Haute Cuisine?;Auguste Escoffier;Schwer
212;Wie viele Sterne vergibt der Guide Michelin maximal an ein Restaurant?;Drei;Einfach
213;In welchem Land wurde das erste Hard Rock Cafe eröffnet?;England (London);Mittel
214;Wer erfand laut Legende das Sandwich?;John Montagu, 4. Earl of Sandwich;Einfach
215;Wie heißt der Guide, der Restaurants mit Hauben bewertet?;Gault&Millau;Mittel
216;Was ist ein Amuse-Gueule?;Ein kleiner Gruß aus der Küche (Appetithäppchen);Mittel
217;Welcher Starkoch ist für seine Wutausbrüche in Hell's Kitchen bekannt?;Gordon Ramsay;Einfach
218;Was ist das Noma in Kopenhagen?;Ein mehrfach als weltbestes Restaurant ausgezeichnetes Lokal;Mittel
219;Welcher Kochstil wurde von Ferran Adrià im elBulli geprägt?;Molekularküche;Schwer
220;Wie nannte man früher die giftgrüne Spirituose, die als Die grüne Fee bekannt war?;Absinth;Mittel
221;Welcher Käse wird traditionell aus Schafsmilch hergestellt: Gouda oder Roquefort?;Roquefort;Mittel
222;Was ist Crème fraîche im Vergleich zu saurer Sahne?;Höherer Fettgehalt (mind. 30%) und weniger Säure;Mittel
223;Wie heißt die geschützte Ursprungsbezeichnung für Parmesan?;Parmigiano Reggiano;Mittel
224;Aus welcher Milch wird echter griechischer Feta gemacht?;Schafs- und Ziegenmilch;Mittel
225;Was ist Mascarpone eigentlich (biologisch gesehen)?;Ein Frischkäse;Einfach
226;Welches Teil vom Schwein wird für Lachsschinken verwendet?;Der Rücken (Kotelettstrang);Mittel
227;Was ist der Unterschied zwischen einem Steak Rare und Medium?;Rare ist im Kern noch fast roh/rot, Medium rosa;Einfach
228;Wie nennt man das Fleisch junger Rinder (bis 8 Monate)?;Kalbfleisch;Einfach
229;Was ist Dry Aging?;Die Trockenreifung von Fleisch am Knochen;Mittel
230;Aus welchem Land stammt das Wagyu-Rind?;Japan;Einfach
231;Was ist Surimi?;Fischmuskeleiweiß (Imitat von Krebsfleisch);Mittel
232;Wie heißt der teuerste Speisefisch der Welt (oft für Sushi genutzt)?;Blauflossen-Thunfisch;Mittel
233;Was ist Matjes?;Ein besonders junger, mild gesalzener Hering;Mittel
234;Welcher Teil des Hummers gilt als Delikatesse?;Das Scherenfleisch und der Schwanz;Einfach
235;Was ist Vannamei?;Eine Garnelenart (Zuchtgarnelen);Schwer
236;Wie nennt man das Garen von Obst in Zuckerwasser?;Kandieren (oder Pochieren);Mittel
237;Welches Gewürz wird aus der Frucht einer Orchidee gewonnen?;Vanille;Mittel
238;Was ist Tonkabohne?;Ein mandelförmiger Samen mit vanilleähnlichem Aroma;Mittel
239;Welches Mehl ist für Brandteig am besten geeignet?;Type 405 (Weizenmehl);Mittel
240;Was ist Invertzucker?;Ein Gemisch aus Frucht- und Traubenzucker (bleibt geschmeidig);Schwer
241;Welches Land ist der weltweit größte Produzent von Reis?;China;Mittel
242;Was ist Polenta?;Ein Maisgrießbrei;Einfach
243;Wie nennt man die indischen Fladenbrote, die am Ofenrand gebacken werden?;Naan;Einfach
244;Was ist Bulgur?;Parboiled, getrockneter und zerkleinerter Weizen;Mittel
245;Welches Getreide steckt in echtem Pumpernickel?;Roggen;Mittel
246;Wie heißt die scharfe Wurzel, die als bayrisches Antibiotikum gilt?;Meerrettich;Einfach
247;Was ist Schwarzwurzel optisch sehr ähnlich (nach dem Schälen)?;Spargel;Mittel
248;Zu welcher Pflanzenfamilie gehört die Kartoffel?;Nachtschattengewächse;Mittel
249;Was ist eine Plantain?;Eine Kochbanane;Mittel
250;Welches Gemüse ist die Hauptzutat für Baba Ghanoush?;Aubergine;Mittel
251;Wie nennt man das Verfahren, bei dem Wein durch Hefe prickelnd wird?;Gärung;Einfach
252;Was ist ein Digestif?;Ein Schnaps nach dem Essen (Verdauungsschnaps);Einfach
253;Welches Mineralwasser muss direkt am Quellort abgefüllt werden?;Natürliches Mineralwasser;Mittel
254;Was ist der Angels' Share bei der Lagerung von Whiskey?;Der Teil, der im Fass verdunstet;Schwer
255;Wie nennt man einen Wein, der weniger als 9g Restzucker pro Liter hat?;Trocken;Mittel
256;Welches Land ist für den Portwein bekannt?;Portugal;Einfach
257;Was ist Grappa?;Ein Tresterschnaps aus Weintraubenresten;Mittel
258;Welches Getränk besteht aus Weißwein und Cassis-Likör?;Kir;Mittel
259;Aus welcher Frucht wird Slivovitz hergestellt?;Pflaume;Mittel
260;Wie nennt man das Mischen von Bier mit Limonade in Norddeutschland?;Alsterwasser;Einfach
261;Was ist Umami?;Die 5. Geschmacksrichtung (würzig/herzhaft);Mittel
262;Welches Vitamin ist in Fett löslich (nenne eines)?;A, D, E oder K;Mittel
263;Was ist Glutamat?;Ein Salz der Glutaminsäure (Geschmacksverstärker);Mittel
264;Wie hoch ist der Siedepunkt von Wasser auf Meereshöhe?;100 Grad Celsius;Einfach
265;Was ist Oxidation bei aufgeschnittenen Äpfeln?;Das Braunwerden durch Kontakt mit Sauerstoff;Einfach
266;Welcher Stoff sorgt im Kaffee für die belebende Wirkung?;Koffein;Einfach
267;Was ist Karotin?;Der Farbstoff in Karotten (Vorstufe Vitamin A);Einfach
268;Wie nennt man den Prozess, bei dem Milch sauer wird?;Milchsäuregärung;Mittel
269;Was ist Lecithin (oft in Eigelb) für eine Substanz in der Küche?;Ein Emulgator;Schwer
270;Welches Gas lässt den Teig bei der Hefegärung aufgehen?;Kohlendioxid ($CO_2$);Mittel
271;Was ist Carpaccio im Original (welches Fleisch)?;Rinderfilet;Mittel
272;Wie heißt die italienische Sauce aus Eigelb, Käse und Speck?;Carbonara;Einfach
273;Was ist Saltimbocca?;Kalbsschnitzel mit Schinken und Salbei;Mittel
274;Wie nennt man kleine spanische Häppchen?;Tapas;Einfach
275;Was ist Ratatouille?;Ein französischer Gemüseschmortopf;Einfach
276;Wie nennt man den Vorgang, Fleisch in einer Flüssigkeit mürbe zu machen?;Marinieren;Einfach
277;Was ist Deglacieren?;Den Bratensatz mit Flüssigkeit ablöschen;Schwer
278;Wie heißt das Garen unter dem Siedepunkt (ca. 70-95 Grad)?;Pochieren;Mittel
279;Was ist Montieren einer Sauce?;Mit kalten Butterstücken aufschlagen zur Bindung;Schwer
280;Wie nennt man das Entfernen des Darmtraktes bei Garnelen?;Entdarmen;Einfach
281;Was ist Fünf-Gewürze-Pulver (Region)?;China;Mittel
282;Welches Gewürz ist das Mark aus einer Rinde?;Zimt;Einfach
283;Was ist Piment auch bekannt als?;Nelkenpfeffer (oder Allgewürz);Mittel
284;Welches Kraut sieht aus wie Dill, schmeckt aber nach Anis?;Fenchel(grün);Mittel
285;Was ist Sumach?;Ein säuerliches, tiefrotes Gewürz aus dem Orient;Schwer
286;Wie heißt die größte Beere der Welt?;Kürbis;Schwer
287;Was ist eine Physalis noch?;Kapstachelbeere;Mittel
288;Welche Frucht wird auch Götterspeise oder Kaki genannt?;Sharonfrucht;Mittel
289;Was ist die Hauptzutat von Marmorstein im Kuchen?;Kakao (für den dunklen Teil);Einfach
290;Welches Obst enthält das Enzym Bromelain, das Fleisch zart macht?;Ananas;Schwer
291;Wie nennt man die kleinen, runden Nudeln aus Sardinien?;Fregola Sarda;Schwer
292;Was ist Pecorino?;Ein italienischer Hartkäse aus Schafsmilch;Mittel
293;Welches Tier liefert das Fleisch für ein Wiener Schnitzel (Original)?;Kalb;Mittel
294;Was ist Eiswein?;Wein aus gefroren geernteten Trauben;Mittel
295;Wie heißt der japanische Tee, der zu Pulver gemahlen ist?;Matcha;Einfach
296;Was ist Pastis?;Eine französische Anisspirituose;Mittel
297;Wie nennt man den Schaum auf einem Espresso?;Crema;Einfach
298;Welches Land konsumiert pro Kopf den meisten Käse?;Frankreich (oder Griechenland, je nach Statistik);Mittel
299;Was ist Kaviar vom Stör: Schwarz oder Rot?;Schwarz;Mittel
300;Welches Gericht wurde zu Ehren einer russischen Tänzerin benannt?;Pavlova;Mittel
