Nr.;Frage;Antwort;Schwierigkeit
28;Welcher Kiez-Bewohner verlor sein Gedächtnis und glaubte, er sei ein Seemann namens „Käpt'n“?;Clemens Richter;Schwer
29;Wie heißt das Kiez-Magazin, das von Katrin Flemming herausgegeben wird?;Metropolitan Trends;Mittel
30;Welcher Star spielte die Rolle des „Cora Hinze“, der großen Liebe von Leon Moreno?;Nina Bott;Einfach
31;Wie verstarb der beliebte Charakter Alexander Cöster in der Serie?;Er wurde vor einen LKW gestoßen (beim Streit mit Shirins Cousin);Mittel
32;Wie heißt die leibliche Tochter von Verena Koch und Leon Moreno?;Sie hatten einen Sohn namens Oskar Moreno;Mittel
33;Welcher Fiesling sperrte Jo Gerner lebendig in ein Grab im Wald?;Linostrami;Schwer
34;Wer gründete zusammen mit Gerner die berüchtigte Stiftung „Lumina“?;Sophie Lindh;Schwer
35;Wie heißt der Ex-Mann von Maren Seefeld, der der Vater von Lilly und Jonas ist?;Kai Seefeld;Mittel
36;Welches Hobby teilt Tuner (Max Krüger) leidenschaftlich gern und machte es zum Business?;Kaffee rösten (Upcycling-Kaffee / Buddy-Kaffee);Einfach
37;Wie hieß die erste Folge von GZSZ, die am 11. Mai 1992 ausgestrahlt wurde (Nummer)?;Folge 1;Einfach
38;Wer war die allererste große Liebe von Senta Lemke?;Hannes Bachmann;Mittel
39;Welche GZSZ-Schauspielerin zog sich für den „Playboy“ aus und spielt Maren Seefeld?;Eva Mona Rodekirchen;Einfach
40;Wie heißt der Kiez-Treffpunkt, der direkt neben dem Späti liegt und von Tuner geführt wurde?;Vereinsheim;Einfach
41;Wer überlebte den dramatischen Flugzeugabsturz im Jahr 2009 nicht?;Hannes Bachmann und Senta Lemke starben bereits 2004 bei einem Absturz.;Schwer
42;Welcher Kiez-Bewohner litt unter schwerer Spielsucht und verspielte Haus und Hof?;Tayfun Badak;Mittel
43;Wie heißt die Halbschwester von Emily und Philip Höfer?;Lena Bachmann;Mittel
44;Aus welchem Grund musste Vince Köpke den Kiez fluchtartig in Richtung Los Angeles verlassen?;Er wollte Koch werden / Beziehungsdrama mit Sunny;Mittel
45;Welcher Bösewicht täuschte seinen eigenen Tod vor, um Jo Gerner den Mord anzuhängen?;David Brenner;Schwer
46;Wie heißt das leibliche Kind von Elena Garcia und Philip Höfer?;Sie hatten kein gemeinsames Kind (Drama um falsche Vaterschaft);Schwer
47;Wer ist der biologische Vater von Maren Seefelds spätem Baby Emma?;Leon Moreno;Mittel
48;Wie heißt die Cousine von Jörn Schlönvoigts Rolle (Philip), die von Susan Sideropoulos gespielt wurde?;Verena Koch (Susan spielte Verena Koch);Einfach
49;Welcher Kiez-Bewohner erfand die gefälschte Modemarke „Tussi Attack“?;Emily Höfer;Einfach
50;In welcher Rechtsanwaltskanzlei arbeitet Tobias Evers heute?;W&L (W&L Immobilien / Gerners Kanzlei);Mittel
51;Wie heißt die langjährige Intimfeindin von Jo Gerner, die später seine Geschäftspartnerin wurde?;Katrin Flemming;Einfach
52;Welcher GZSZ-Darsteller machte eine Musikkarriere mit der Band „Desert Rose“?;Raphaël Vogt (Nico Weimershaus);Schwer
53;Welcher Charakter starb bei einer Explosion im Club „Daniels“?;Kai Scholl;Schwer
54;Wie heißt die Tochter von John Bachmann und Paula Rapf?;Sie hatten keine Kinder (Paula war später lesbisch);Mittel
55;Welche Kiez-Bewohnerin litt jahrelang unter schwerer Bulimie (Essstörung)?;Lilly Seefeld;Mittel
56;Wer schoss im Jahr 1999 auf Jo Gerner, was als einer der größten Kiez-Krimis gilt?;Natalia Altmann (oder Patrick Graf) -> Korrektur: Es war Elke Opitz.;Schwer
57;Wie heißt die Schauspielerin, die seit Jahrzehnten die schrullige, aber liebenswerte „Gitti“ spielte?;Gitti war eine andere Serie -> Gemeint ist: Inge / Gerda / Korrektur: Susan Sideropoulos spielte Verena.;Schwer
58;Welcher Kiez-Charakter war taubstumm und wurde von Benjamin Kiss gespielt?;Er war nicht taubstumm. Christopher „Chris“ Lehmann war politischer Aktivist.;Schwer
59;Wie heißt das Kiez-Kollektiv, eine Wohngemeinschaft, in der viele junge Rollen wohnen?;Das Kollektiv (Kollektiv-WG);Einfach
60;Welcher Star war der absolute Teenie-Schwarm der 90er und spielte den „Flo Spira“?;Rhea Harder spielte Flo Spira.;Mittel
61;Wer war der Entführer von Gerners Sohn Dominik?;Patrick Gerner (aus Eifersucht);Mittel
62;Wie heißt das Kiez-Restaurant, das feine französische/italienische Küche anbot (neben dem Mauerwerk)?;Das Fasan (früher) / Carlas;Mittel
63;Welcher Kiez-Bewohner war drogenabhängig und stahl Geld aus der Kasse des Mauerwerks?;Jasmin Flemming (oder Martin Ahrens);Mittel
64;Welcher Charakter täuschte eine Querschnittslähmung vor, um seine Traumfrau an sich zu binden?;Felix Lehmann;Schwer
65;Wer ist die leibliche Mutter von Sunny Richter?;Vanessa Moreno (geb. Richter);Mittel
66;Wie heißt der skrupellose Bauunternehmer, der Marens Tochter Laura erpresste?;Jo Gerner (oder Felix Lehmann / KF);Mittel
67;Welcher Charakter stürzte tragisch von einer Klippe, nachdem er Jo Gerner bedroht hatte?;David Brenner (Überlebte) / Keller;Schwer
68;Wie heißt das Kiez-Catering-Unternehmen von Senta und Hannes?;Hoch-Kant;Schwer
69;Welcher GZSZ-Charakter feierte eine lesbische Traumhochzeit mit Franzi Reuter?;Paula Rapf;Mittel
70;Wie heißt der Psychopath, die Ärztin und Kiez-Bewohner monatelang stalkte und bedrohte?;Dr. Linostrami (oder Martin Ahrens);Mittel
71;Welcher berühmte deutsche Musiker hatte einen Gastauftritt beim Kiez-Festival im Mauerwerk?;Udo Lindenberg;Mittel
72;Welche GZSZ-Familie gilt als das absolute Urgestein der Serie seit Folge 1?;Familie Richter (Clemens und Vera);Einfach
73;Wie heißt der Kiez-Anwalt, der drogenabhängig wurde und Marens Tochter stalkte?;Martin Ahrens;Mittel
74;Wer war die erste Ehefrau von Dr. Jo Gerner in der Serie?;Nataly Jäger;Schwer
75;Wie heißt die große Liebe von Felix Lehmann, die ihn später für seinen Bruder Chris verließ?;Sunny Richter;Mittel
76;Welches Schicksal ereilte den Charakter Deniz Ergün (gespielt von Ismail ?ahin)?;Er stürzte aus dem Fenster am Tag seiner Hochzeit;Schwer
77;Wie heißt der Kiez-Schreiner, der lange Zeit mit A.R. Daniel zusammenarbeitete?;Hannes Bachmann;Mittel
78;Welcher Charakter täuschte eine Schwangerschaft vor, um Philip Höfer zu halten?;Ayla Özgül;Mittel
79;Wie heißt das schicke Hotel im Kiez, in dem viele Intrigen gesponnen wurden?;Grand Justen;Schwer
80;Wer rettete Jo Gerner das Leben, als dieser im Wald lebendig begraben wurde?;Toni Ahrens / Katrin Flemming;Mittel
81;Welcher GZSZ-Star nahm erfolgreich an der Tanzshow „Let's Dance“ teil und gewann sogar?;Valentina Pahde (2. Platz) / Korrektur: Susan Sideropoulos gewann die 2. Staffel!;Mittel
82;Wie heißt die leibliche Tochter von Katrin Flemming, die zur Adoption freigegeben wurde und als Jasmin wiederkehrte?;Jasmin Nowak;Einfach
83;Welcher Kiez-Bewohner überlebte eine schwere Herztransplantation?;Tuner (Max Krüger);Einfach
84;Wie heißt das Luxus-Penthouse, in dem Gerner und Katrin lange Zeit wohnten?;Gerners Loft / Penthouse;Einfach
85;Welcher Bösewicht erpresste den Kiez mit gefälschten Medikamenten?;Linostrami;Schwer
86;Wie heißt der Bruder von Felix Lehmann, der als politischer Aktivist lebte?;Chris Lehmann;Mittel
87;Welcher Charakter verlor sein Baby bei einem dramatischen Treppensturz nach einem Streit mit Katrin?;Anni Brehme;Schwer
88;Wie heißt das Fitnessstudio, das von den Kiez-Bewohnern genutzt und betrieben wurde?;Physio-Kiez / Korrektur: Fit & Fun;Mittel
89;Welcher Kiez-Bewohner wurde von einer giftigen Spinne gebissen und schwebte in Lebensgefahr?;Philip Höfer;Mittel
90;Wer ist der Vater von Emilys Tochter Kate?;Roberto Falciani (Tuner zog sie groß);Mittel
91;Wie heißt die Kiez-Polizistin, die die Tochter von Martin Ahrens ist?;Toni Ahrens;Einfach
92;Welcher GZSZ-Charakter wurde am Hochzeitstag von einem Auto erfasst und verstarb im Krankenhaus?;Verena Koch;Mittel
93;Wie heißt das Kiez-Label, unter dem Emily ihre Design-Taschen verkaufte?;Vleder BAG;Mittel
94;Welcher Charakter täuschte seine eigene Entführung vor, um Lösegeld von Gerner zu erpressen?;Patrick Graf jr.;Schwer
95;Wie heißt die Cousine von Senta Lemke, die im Kiez für viel Wirbel sorgte?;Sandra Ergün;Schwer
96;Welcher Kiez-Bewohner baute einen schweren Unfall unter Alkoholeinfluss und beging Fahrerflucht?;John Bachmann;Mittel
97;Wie heißt die leibliche Mutter von Felix und Chris Lehmann?;Rosa Lehmann;Mittel
98;Welcher Kiez-Bewohner war ein erfolgreicher DJ und legte im Mauerwerk auf?;John Bachmann;Einfach
99;Wie heißt das Kiez-Café, das von Laura Lehmann (geb. Weber) eröffnet wurde?;Kiezkauf / Korrektur: Spree-Café / Mauerwerk-Ableger;Mittel
100;Welche berühmte deutsche Politikerin hatte 1998 einen echten Gastauftritt bei GZSZ?;Rita Süssmuth;Schwer
101;Wer ist die leibliche Mutter von John, Ben und Lena Bachmann?;Patrizia Bachmann;Mittel
102;Welches Suchtproblem hatte Emily Höfer in ihrer Jugend, das fast ihre Modelkarriere zerstörte?;Kokainsucht;Mittel
103;Wie heißt der leibliche Sohn von Katrin Flemming und Till „Bommel“ Kuhn?;Sie hatten kein gemeinsames Kind;Schwer
104;Welche Kiez-Bewohnerin war mit dem Rocker „Kurt Le Roy“ verheiratet?;Jasmin Flemming;Mittel
105;Wie hieß die erste große Liebe von Philip Höfer, die später nach London zog?;Franzi Reuter;Mittel
106;In welchem Land versteckte sich Laura Weber, nachdem sie Gerners Millionen unterschlagen hatte?;Griechenland;Schwer
107;Wie heißt die Halbschwester von Lilly und Jonas Seefeld, die Marens Tochter ist?;Louiza (oder Baby Emma);Mittel
108;Welcher Kiez-Bewohner verlor bei einem verheerenden Brand im Mauerwerk fast sein Leben?;Leon Moreno;Mittel
109;Welcher Serien-Fiesling hielt Sunny, Chris und Felix monatelang mit Erbstreitigkeiten in Atem?;Rosa Lehmann;Mittel
110;Wer ist der biologische Vater von Jasmins jüngerem Bruder Dominik Gundlach?;Jo Gerner;Einfach
111;Wie heißt die Event-Agentur, die Katrin Flemming und Maren Seefeld zusammen leiteten?;KFI (Katrin Flemming Immobilien / Events);Mittel
112;Welcher Kiez-Bewohner erlitt eine Querschnittslähmung nach einem schweren Motorradunfall?;Leon Moreno;Einfach
113;Wie hieß das alternative Wohnprojekt, das Chris Lehmann im Kiez gründete?;Wohnwünsche / Die Bauwagen-Siedlung;Schwer
114;Welche Kiez-Bewohnerin täuschte eine unheilbare Krankheit vor, um das Mitleid von Tuner zu erregen?;Jessica Reichelt;Schwer
115;Wer stieß Alexander Cöster unabsichtlich vor den LKW, was zu seinem Serientod führte?;Shirins Cousin (Nazim);Schwer
116;Wie heißt die leibliche Schwester von Arzt Philip Höfer?;Emily Höfer;Einfach
117;Welcher Kiez-Charakter war jahrelang als professioneller Koch im „Mauerwerk“ tätig?;Leon Moreno (oder Vince Köpke);Einfach
118;Wie heißt das Modelabel, das Jasmin Flemming nach ihrer Ausbildung gründete?;Tussi Attack (zusammen mit Emily);Mittel
119;Welcher Bösewicht steckte hinter der Entführung von Jo Gerners Enkelin Johanna?;Linostrami;Schwer
120;Wie heißt der Ex-Mann von Nina Klee, der seine Familie jahrelang häuslich tyrannisierte?;Martin Ahrens;Mittel
121;In welcher Stadt machte Sunny Richter ihren Master-Abschluss in Architektur?;Mailand;Schwer
122;Wie hieß die hippe Plattenfirma, bei der John Bachmann in den 2000ern arbeitete?;Sisters Sound;Schwer
123;Welcher GZSZ-Charakter leidet an der unheilbaren Nervenkrankheit ALS und wählte den Freitod?;Till „Bommel“ Kuhn;Schwer
124;Wer war die große Liebe von Tayfun Badak, bevor er den Kiez für immer verließ?;Emily Höfer;Mittel
125;Wie heißt die Cousine von Lilly Seefeld, die als taffe Polizistin im Kiez ermittelte?;Toni Ahrens;Einfach
126;Welcher Kiez-Bewohner gründete die erfolgreiche Kaffeemarke „Upcycling Coffee“?;Tuner (Max Krüger);Einfach
127;Wie heißt der Sohn von Elena Garcia, dessen Vaterschaft lange Zeit ein großes Geheimnis war?;Ben (Vater war Jo Gerner);Schwer
128;Welcher Charakter täuschte eine Entführung vor, um Lösegeld von Felix Lehmann zu erpressen?;Laura Weber;Mittel
129;Wie hieß die Rockband von Kai Scholl und Moritz Demand in den späten 90ern?;Die Coolen;Schwer
130;Welche Kiez-Bewohnerin verliebte sich unsterblich in den verheirateten Tobias Evers?;Katrin Flemming;Mittel
131;Wer wurde nach dem tragischen Tod von Verena Koch die neue Frau an Leons Seite?;Sophie Lindh;Mittel
132;Welcher Bösewicht manipulierte die Bremsen von Jo Gerners Auto, was zu einem schweren Unfall führte?;David Brenner;Schwer
133;Wie heißt die leibliche Mutter von Luis Ahrens?;Nina Klee (Ahrens);Einfach
134;Welcher Kiez-Bewohner verlor bei einem illegalen Autorennen sein Gehör auf einem Ohr?;Jonas Seefeld;Mittel
135;Wer ist die biologische Mutter von Vize-Weltmeister-Koch Vince Köpke?;Sonja Wiebe;Schwer
136;Wie heißt der exklusive Concept Store, den Emily Höfer im Kiez eröffnete?;Vleder BAG Shop;Mittel
137;Welcher Charakter wurde von einem Stalker in einer einsamen Waldhütte gefangengehalten?;Jasmin Flemming;Mittel
138;Wie heißt das Krankenhaus, in dem Philip Höfer als Chefarzt tätig war?;Jeremias-Krankenhaus;Einfach
139;Welche Kiez-Bewohnerin leidet unter einer bipolaren Störung (manische Depression)?;Maren Seefeld (oder Senta Lemke);Schwer
140;Wer betreibt aktuell den beliebten Kiez-Imbiss „Kiez-Charly“?;Jonas Seefeld;Mittel
141;Wie hieß der schmierige Musikproduzent, der Cöster-Sohn Lenny erpresste?;Carsten Reimann;Schwer
142;Welcher Kiez-Bewohner saß unschuldig im Gefängnis, weil Felix Lehmann Beweise fälschte?;Chris Lehmann;Mittel
143;Wie heißt die Tochter von John Bachmann und Pia Koch?;Sie hatten keine gemeinsamen Kinder;Mittel
144;Welcher Kiez-Charakter verließ Berlin, um als Fotograf nach New York zu gehen?;Dominik Gundlach (vor seinem Serientod);Mittel
145;Wie heißt die Modedesignerin, die Gerners Enkelin Sunny Richter das Handwerk beibrachte?;Jasmin Flemming;Mittel
146;Welcher Charakter überlebte einen dramatischen Schusswechsel im Mauerwerk nur knapp?;Das war Leon Moreno;Mittel
147;Wie heißt das Immobilienunternehmen, das Katrin Flemming von Gerner übernahm?;W&L Immobilien;Einfach
148;Welcher Kiez-Bewohner hatte eine Affäre mit der Mutter seines besten Freundes (Patrizia)?;John Bachmann;Schwer
149;Wie hieß die erste große Liebe von Cora Hinze in der Serie?;Nico Weimershaus;Mittel
150;Welches Kiez-Urgestein feierte im Jahr 2022 sein 30-jähriges Serienjubiläum?;Dr. Jo Gerner (Wolfgang Bahro);Einfach
151;Wie heißt die leibliche Tochter von Maren Seefeld und Leon Moreno?;Emma Seefeld;Einfach
152;Welcher Charakter täuschte eine Krebserkrankung vor, um die Hochzeit von Philip zu verhindern?;Ayla Özgül;Schwer
153;Wie heißt das Fitness- und Wellnesscenter, das lange Zeit im Kiez existierte?;Metropolis;Schwer
154;Welcher Kiez-Bewohner wurde nach einem One-Night-Stand mit einer Unbekannten Vater von Zwillingen?;John Bachmann;Schwer
155;Wie heißt die taffe Anwältin, die Jo Gerner nach seiner Verhaftung verteidigte?;Inka Albrecht;Schwer
156;Welcher GZSZ-Charakter wurde bei einem Ausflug an einen See von einem Wildschwein attackiert?;Erik Fritsche;Mittel
157;Wie heißt die leibliche Schwester von Laura Lehmann (geb. Weber)?;Sie hat keine Schwester (Philip Höfer ist ihr Halbbruder);Schwer
158;Welcher Kiez-Bewohner baute eine erfolgreiche Karriere als DJ unter dem Namen „DJ MoDo“ auf?;Moritz Demand;Mittel
159;Wie heißt das Kiez-Café, das vor dem Vereinsheim der absolute Hotspot war?;Café Mocca;Einfach
160;Wer ist der leibliche Vater von Sunnys Cousin Dominik Gundlach?;Jo Gerner;Einfach
161;Welcher Charakter stürzte bei Dreharbeiten für einen Werbespot von einem Dach?;Alexander Cöster;Schwer
162;Wie heißt die leibliche Mutter von Emily und Philip Höfer?;Hannelore Höfer;Mittel
163;Welcher Kiez-Anwalt wurde wegen Veruntreuung von Mandantengeldern verhaftet?;Tobias Evers;Mittel
164;Wie heißt das Berliner Kiez-Magazin, bei dem Alexander Cöster als Chefredakteur arbeitete?;Metropolitan Trends;Einfach
165;Welcher Charakter überlebte eine schwere Vergiftung durch giftige Pilze beim Camping?;Turner (Max Krüger);Mittel
166;Wie heißt die Ex-Frau von John Bachmann, die später mit Leon Moreno wegzog?;Pia Koch;Mittel
167;Welcher Kiez-Bewohner wurde Opfer eines brutalen Säure-Anschlags im Mauerwerk?;Felix Lehmann;Schwer
168;Wie heißt das Kiez-Kollektiv, in dem Jonas, Lilly und Nihat zusammenwohnten?;Das Vereinsheim-Apartment (WG);Einfach
169;Welcher Charakter täuschte einen Gedächtnisverlust vor, um einer Haftstrafe zu entgehen?;Jo Gerner;Mittel
170;Wie heißt der exklusive Club, den Jo Gerner in den 90er Jahren leitete?;Der Fasan;Einfach
171;Welcher Kiez-Bewohner wurde nach einem Banküberfall auf der Flucht angeschossen?;Erik Fritsche;Mittel
172;Wie heißt die leibliche Tochter von Katrin Flemming und Jo Gerner?;Johanna Flemming;Einfach
173;Welcher Charakter litt unter einer schweren Internet- und Spielsucht am PC?;Jonas Seefeld;Mittel
174;Wie heißt die Tante von Sunny Richter, die jahrelang in Kanada lebte?;Vanessa Moreno;Schwer
175;Welcher Kiez-Bewohner wurde von einem Auto angefahren, als er einen Hund retten wollte?;Tuner;Mittel
176;Wie heißt das Modelabel, das Emily Höfer nach dem Ende von Tussi Attack gründete?;Vleder BAG;Einfach
177;Welcher Charakter wurde von Jo Gerner eigenhändig aus einem brennenden Auto gerettet?;Dominik Gundlach;Mittel
178;Wie heißt die große Liebe von Nihat Güney, die die Schwester von Toni Ahrens ist?;Lilly Seefeld;Einfach
179;Welcher Fiesling versuchte, Katrin Flemming mit kompromittierenden Fotos zu erpressen?;David Brenner;Schwer
180;Wie heißt die leibliche Mutter von Felix und Chris Lehmann?;Rosa Lehmann;Einfach
181;Welcher Kiez-Bewohner baute eine Karriere als erfolgreicher Influencer auf?;Moritz Demand;Einfach
182;Wie heißt das Kiez-Bistro, das Maren Seefeld für kurze Zeit leitete?;Mauerwerk-Café;Mittel
183;Welcher Charakter wurde nach einem Streit von Katrin Flemming die Treppe hinuntergestoßen?;Anni Brehme;Schwer
184;Wie heißt der leibliche Vater von Moritz Demand?;Michi Demand;Einfach
185;Welcher Kiez-Bewohner wurde fälschlicherweise für den Mörder von Patrick Graf gehalten?;Gerner stand unter Verdacht (Es war Selbstmord/Unfall);Schwer
186;Wie heißt das Jeremias-Krankenhaus mit vollem, fiktivem Namen?;Jeremias-Krankenhaus Berlin-Mitte;Einfach
187;Welcher Charakter wurde von einem herabstürzenden Scheinwerfer im Mauerwerk schwer verletzt?;Emily Höfer;Schwer
188;Wie heißt der Ex-Freund von Toni Ahrens, der als verdeckter Ermittler arbeitete?;Bastian Münch;Schwer
189;Welcher Kiez-Bewohner verlor all sein Geld durch eine gefälschte Krypto-Währung?;Jonas Seefeld;Mittel
190;Wie heißt die leibliche Mutter von Laura Lehmann?;Yvonne Bode;Einfach
191;Welcher Charakter erlitt einen Herzinfarkt mitten während einer hitzigen Kiez-Ausschuss-Sitzung?;Clemens Richter;Schwer
192;Wie heißt der leibliche Sohn von Maren Seefeld und Leon Moreno?;Sie bekamen eine Tochter namens Emma;Mittel
193;Welcher Fiesling entführte die schwangere Ayla Özgül, um an das Baby zu kommen?;David Brenner;Schwer
194;Wie heißt die exklusive Kiez-Wohnung, die Tuner von seinem Krypto-Gewinn kaufte?;Tuners Loft;Einfach
195;Welcher Charakter wurde nach einer Schlägerei im Mauerwerk wegen schwerer Körperverletzung angeklagt?;Erik Fritsche;Mittel
196;Wie heißt der leibliche Vater von Sunny Richters Kind?;Sie hat kein Kind;Schwer
197;Welcher Kiez-Bewohner überlebte einen schweren Sturz in einen tiefen Fahrstuhlschacht?;Jo Gerner;Mittel
198;Wie heißt das kleine Lebensmittelgeschäft, das Yvonne Bode im Kiez betreibt?;Spätkauf (Übernahme);Einfach
199;Welcher Charakter verließ Berlin, um eine Weltreise auf einem Kreuzfahrtschiff zu machen?;Maren Seefeld;Mittel
200;Wie heißt der fiktive Berliner Kiez, in dem GZSZ spielt, in der Realität (Drehort)?;Potsdam-Babelsberg (Studio);Einfach
201;Welcher berühmte deutsche Altbundeskanzler hatte im Jahr 1998 einen legendären Gastauftritt bei GZSZ?;Gerhard Schröder;Einfach
202;Wie heißt die leibliche Tochter von Leon Moreno und Cora Hinze?;Sie bekamen einen Sohn namens Ben Moreno;Mittel
203;Aus welchem Grund saß John Bachmanns Vater Hannes eine Zeit lang im Gefängnis?;Wegen Hehlerei / Unterschlagung;Mittel
204;Wie heißt das Modelabel, das Emily Höfer gründete, bevor es in „Vleder BAG“ umbenannt wurde?;Tussi Attack;Einfach
205;Welcher Kiez-Bewohner infizierte sich nach einem Nadelstich im Krankenhaus fast mit HIV?;Philip Höfer;Mittel
206;Wie hieß die leibliche Zwillingsschwester von Jo Gerners großer Liebe Natalia Altmann?;Vanessa Altmann;Schwer
207;Welcher Charakter starb in den frühen 90er Jahren tragisch an den Folgen einer Überdosis illegaler Substanzen?;Andy Lehmann;Schwer
208;Wie heißt das noble Restaurant im Kiez, das vor dem „Fasan“ der kulinarische Dreh- und Angelpunkt war?;Casino;Schwer
209;Welcher Kiez-Bewohner wanderte nach einer gescheiterten Ehe nach Kanada aus, um dort ein neues Leben zu beginnen?;Nico Weimershaus;Mittel
210;Wie heißt die leibliche Mutter von Lilly, Jonas und Toni Seefeld?;Maren Seefeld;Einfach
211;Welcher Kiez-Bewohner wurde von einer unheilbaren Augenkrankheit bedroht und erblindete fast vollständig?;Laura Weber;Schwer
212;Wie heißt die Halbschwester von Katrin Flemming, die eine Zeit lang im Kiez als Krankenschwester arbeitete?;Anna Galuba;Schwer
213;Welcher GZSZ-Charakter täuschte eine Geiselnahme vor, um die Aufmerksamkeit von John Bachmann zu erzwingen?;Caroline Neustädter;Schwer
214;Wie heißt der biologische Vater von Alexander Cösters Sohn Lenny?;Alexander Cöster (Lenny ist sein leiblicher Sohn);Einfach
215;Welcher Charakter stürzte bei einem Streit mit Jo Gerner über eine Balkonbrüstung und überlebte nur knapp?;Barbara Graf;Schwer
216;Wie hieß die erste große Liebe von Ricky Marquart im Kiez der späten 90er Jahre?;Nataly Jäger;Mittel
217;Welcher Kiez-Bewohner machte eine Ausbildung zum Zweiradmechaniker und eröffnete eine eigene Werkstatt?;Paul Wiedmann;Mittel
218;Wie heißt die leibliche Tochter von Ayla Özgül und Philip Höfer?;Sie adoptierten ein Baby (Kate) / hatten kein leibliches Kind;Mittel
219;Welcher Serien-Fiesling manipulierte eine Vaterschaftsanalyse, um Jo Gerner als Vater von Dominik auszugeben?;Katrin Flemming (wollte Gerner an sich binden);Schwer
220;Wie heißt die taffe Physiotherapeutin, die mit Erik Fritsche liiert war?;Toni Ahrens;Einfach
221;Welcher Charakter erlitt nach einer Geiselnahme im Kiez ein schweres posttraumatisches Belastungssyndrom?;Emily Höfer;Mittel
222;Wie hieß die skurrile Band, die Kai Scholl und Moritz Demand in ihrer Schulzeit gründeten?;Die Flaschenkinder;Schwer
223;Welcher Kiez-Bewohner verlor bei einem verheerenden Wohnungsbrand sein gesamtes Hab und Gut?;Turner (Max Krüger);Mittel
224;Wie heißt die biologische Tochter von Senta Lemke, die später als Model Karriere machte?;Sandra Ergün (geb. Lemke);Mittel
225;Welcher Charakter wurde nach einem heftigen Streit von seiner Ehefrau mit einem Kerzenleuchter niedergestreckt?;Hannes Bachmann;Schwer
226;Wie heißt der exklusive Weinkeller, den Jo Gerner in den Katakomben des Fasan einrichten ließ?;Gerners Schatzkammer;Schwer
