Nr.;Frage;Antwort;Schwierigkeit
66;"Welches eSport-Team gewann im Frühjahr 2024 das prestigeträchtige ""Intel Extreme Masters"" (IEM) Katowice im neuen Titel CS2?";Team Spirit;Mittel
67;Wie nennt man im Gaming-Jargon das direkte Wiederbelebtwerden eines Gegners direkt hintereinander an derselben Stelle im Spiel?;Spawn-Camping;Mittel
68;"Welches Spiel von Blizzard gilt als der Urvater des modernen ""Hero Shooter""-Genres und setzte auf teambasierte Payload-Kämpfe?";Overwatch;Mittel
69;Wie heißt das berühmt-berüchtigte, grüne Alien-Monster aus Minecraft, das lautlos an Spieler heranschleicht und explodiert?;Creeper;Mittel
70;"Aus welcher dystopischen RPG-Reihe stammt der ikonische ""Vault Boy"" als Maskottchen?";Fallout;Mittel
71;"Wie heißt der Mitbegründer der Firma Valve, der in der PC-Gaming-Community kultartig als ""Gaben"" verehrt wird?";Gabe Newell;Mittel
72;Welches eSport-Genre wird durch Spiele wie Street Fighter, Tekken und Super Smash Bros. repräsentiert?;Fighting Games (FGC / Prügelspiele);Mittel
73;Wie nennt man die Phase vor einem LoL- oder Dota-Match, in der Teams abwechselnd Charaktere für das Spiel sperren und auswählen?;Pick & Ban Phase (Draft);Mittel
74;Wie heißt das nützliche Utensil im kompetitiven Gaming, das das Kabel einer kabelgebundenen Maus anhebt, um Reibung auf dem Mauspad zu minimieren?;Mouse Bungee;Mittel
75;Aus welchem klassischen Stealth-Franchise stammt der glatzköpfige Profikiller Agent 47?;Hitman;Mittel
76;"Welcher finnische StarCraft II-Ausnahmespieler (Zerg) durchbrach als erster Nicht-Koreaner (""Foreigner"") die absolute südkoreanische Dominanz und gewann die GSL?";Serral (Joona Sotala);Schwer
77;Wie hießen die beiden Entwickler, die 1999 die ursprüngliche Modifikation für Half-Life programmierten, aus der später Counter-Strike entstand?;"Minh Le (""Gooseman"") und Jess Cliffe";Schwer
78;Welches Team schaffte es als einziges in der LoL-Geschichte, dreimal in Folge das Finale der World Championship zu erreichen (2015, 2016, 2017)?;SK Telecom T1;Schwer
79;Welches skandinavisch-amerikanische Star-Team dominierte das Jahr 2003 im klassischen Counter-Strike 1.6 komplett und gewann fast jedes Major-Event?;SK Gaming;Schwer
80;"Welches Team schrieb eSport-Geschichte, indem es das mit Abstand schwerste Dota 2-Turnier ""The International"" in den Jahren 2018 und 2019 hintereinander gewann?";OG;Schwer
81;Wie lautet der exakte Name der hauseigenen Physik- und Grafik-Engine von Valve, auf der Counter-Strike 2 technisch basiert?;Source 2;Schwer
82;Welcher außergewöhnliche Programmierfehler im klassischen StarCraft: Brood War erlaubte es, fliegende Mutalisken exakt auf einem einzigen Pixel zu stapeln?;Mutalisk Stacking (Muta-Stack);Schwer
83;Welches eSport-Event im Jahr 1997 gilt mit dem Hauptpreis des persönlichen Ferrari 328 GTS von John Carmack als Geburtsstunde des eSports?;Red Annihilation (Quake-Turnier);Schwer
84;"Wer gewann das legendäre Quake-Turnier ""Red Annihilation"" und gilt damit als einer der allerersten eSport-Profis der Geschichte?";"Dennis ""Thresh"" Fong";Schwer
85;Wie heißt das versteckte mathematische Bewertungssystem (nicht der sichtbare Rang), das im Hintergrund das exakte Skill-Niveau für das Matchmaking berechnet?;MMR (Matchmaking Rating) / Elo-System;Schwer
86;"Welcher japanische Kampfspiel-Profi vollbrachte das weltberühmte ""Evo Moment 37"" im Jahr 2004, indem er Ken Masters' Special perfekt parierte?";Daigo Umehara;Schwer
87;Wie hieß der exakte interne Code-Name des allerersten, spielbaren Entwicklungs-Prototyps von League of Legends im Jahr 2008?;Project Shiny;Schwer
88;Welches CS:GO Major-Turnier hält den Rekord für das längste einzelne Map-Match der Major-Geschichte (60 Runden zwischen CR4ZY und Astralis auf Dust II)?;StarLadder Berlin Major 2019;Schwer
89;Welcher Champion musste aufgrund eines irreparablen Audio- und Skill-Bugs mitten während der LoL-Weltmeisterschaft 2015 für das restliche Turnier komplett gesperrt werden?;Gragas;Schwer
90;Welches Traditionsteam gewann im März 2024 die allererste offizielle Counter-Strike 2 Major Championship im dänischen Kopenhagen?;Natus Vincere (Na'Vi);Schwer
91;"Wie hieß das erste westliche eSport-Team, das im Jahr 2019 das prestigeträchtige ""Mid-Season Invitational"" (MSI) in League of Legends gewinnen konnte?";G2 Esports;Schwer
92;"Wie heißt das exakte In-Game-Messer (Skin) in CS:GO/CS2, das durch das seltene Pattern 387 (""Blue Gem"") den höchsten jemals geschätzten Sammlerwert von über 1,5 Millionen Dollar erreichte?";Karambit Case Hardened;Schwer
93;Welcher schwedische Ex-Profi (CS 1.6) gilt als einer der brillantesten taktischen Köpfe der Shooter-Geschichte und formte als Kapitän das legendäre Fnatic-Lineup ab 2006?;cArn (Patrik Sättermon);Schwer
94;Welcher Begriff beschreibt das minimale, unabsichtliche Zeitfenster im Online-Gaming, bei dem ein Spieler aufgrund von Server-Latenzen hinter einer Wand getroffen wird?;Desync (Peeker's Advantage);Schwer
95;"Wie heißt der renommierte eSport-Preis, der jährlich in London verliehen wird und in der Gaming-Branche offiziell als die ""Oscars des eSports"" gilt?";Esports Awards;Schwer
96;Welches Spiel aus dem Jahr 1958, entwickelt von William Higinbotham auf einem Oszilloskop, gilt historisch als das allererste interaktive Videospiel überhaupt?;Tennis for Two;Schwer
98;Wie hieß das südkoreanische Profi-Team, das die eSport-Szene von Overwatch in den Anfangsjahren komplett dominierte und die ersten Apex-Seasons gewann?;Lunatic-Hai;Schwer
99;Wie wird die eSport-Taktik genannt, bei der ein Team in Counter-Strike absichtlich eine Blendgranate (Flashbang) so wirft, dass der Gegner sie erst im Moment der Detonation sieht und nicht weggucken kann?;Pop-Flash;Schwer
101;In welchem Nintendo-Prügelspiel kämpfen Pikachu, Link und Mario gegeneinander?;Super Smash Bros.;Einfach
102;Welches MMO hält seit Jahrzehnten den Rekord für die treueste Abo-Spielerschaft im Fantasy-Bereich?;World of Warcraft;Einfach
103;Wie viele Spieler befinden sich in einem klassischen eSport-Team bei Counter-Strike auf dem Feld?;5;Einfach
104;Aus welcher weltbekannten Stealth-Reihe stammt das grüne Dreifach-Nachtsichtgerät von Sam Fisher?;Tom Clancy's Splinter Cell;Einfach
105;Welches Open-World-Spiel lässt uns in die Rollen von Trevor, Michael und Franklin schlüpfen?;Grand Theft Auto V (GTA 5);Einfach
106;"Welches Spielgenre verbirgt sich hinter der Abkürzung ""RTS""?";Real-Time Strategy (Echtzeit-Strategie);Einfach
107;Wie heißt die wichtigste Währung im MOBA-Hit League of Legends, die man während eines Matches sammelt?;Gold;Einfach
108;"Welcher skandinavische Streamer hält mit seinem Kanal ""PewDiePie"" seit Jahren eine der größten Gaming-Communitys?";Felix Kjellberg;Einfach
109;Welche Farbe hat das Portal, das man mit der linken Maustaste im Spiel Portal standardmäßig schießt?;Blau;Einfach
110;Welcher bärtige Gott des Krieges zieht im PlayStation-Hit God of War mit einer Axt in die Schlacht?;Kratos;Einfach
111;Wie heißt die größte Videospiel-Vertriebsplattform für den PC, die von Valve betrieben wird?;Steam;Einfach
112;"Welches Battle-Royale-Spiel startete als Modifikation für ARMA 3 und prägte den Begriff ""Winner Winner Chicken Dinner""?";PUBG (PlayerUnknown's Battlegrounds);Einfach
113;In welchem schwedischen Bauspiel bekämpft man nachts Zombies, Skelette und Spinnen?;Minecraft;Einfach
114;Welches dänische Unternehmen ist weltberühmt für Klötzchen, hat aber auch zahlreiche Videospiele (z.B. Star Wars) lizenziert?;LEGO;Einfach
115;Welches eSport-Auto-Fußballspiel kombiniert Raketenantriebe mit gigantischen Bällen?;Rocket League;Einfach
116;Welches futuristische Rennspiel-Franchise von Nintendo ist berühmt für Captain Falcon und extreme Geschwindigkeiten?;F-Zero;Einfach
117;Wie nennt man im Gaming das unfaire Nutzen von Software, um durch Wände zu sehen?;Wallhack;Einfach
118;Welches Spiel von EA lässt dich das Leben einer virtuellen Familie im Detail simulieren?;Die Sims;Einfach
119;Wie nennt man die computergesteuerten Soldaten in LoL, die auf den Lanes marschieren?;Minions (oder Vasallen);Einfach
120;Welches schaurige Survival-Horror-Spiel von Capcom spielt im fiktiven Raccoon City?;Resident Evil;Einfach
121;"Was versteht man im eSport unter einem ""Ace""?";Ein einzelner Spieler eliminiert das gesamte gegnerische Team allein;Mittel
122;Aus welchem Warcraft-Ableger ging das gesamte MOBA-Genre (DotA) ursprünglich hervor?;Warcraft III: The Frozen Throne;Mittel
123;Welcher deutsche League of Legends-Spieler erreichte als Mid-Laner mit Fnatic das Worlds-Finale 2018?;Caps (Rasmus Winther - Hinweis: Er ist Däne, spielte aber in Europa / Alternativ: Caps);Mittel
124;Welches Team gewann das allererste League of Legends World Championship-Turnier im Jahr 2011?;Fnatic;Mittel
125;"Was bewirkt die In-Game-Mechanik des ""Bunny Hoppings"" in älteren Source-Engine-Spielen?";Höhere Fortbewegungsgeschwindigkeit durch präzises Springen;Mittel
126;Welches legendäre eSport-Turnier findet traditionell jedes Jahr in der Lanxess Arena in Köln statt?;IEM Cologne (Intel Extreme Masters);Mittel
127;Wie heißt der brennende, fliegende Drache, der das Maskottchen des Spiels Spyro ist?;Spyro;Einfach
128;"Was versteht man im eSport unter ""Macro-Gameplay""?";Das strategische Verständnis für die gesamte Karte, Rotationen und Map-Ziele;Mittel
129;Wie heißt das finnische Entwicklerstudio hinter Max Payne, Alan Wake und Control?;Remedy Entertainment;Mittel
130;Welches Counter-Strike-Team wurde durch das legendäre Lineup rund um FalleN, coldzera und TACO weltberühmt?;Luminosity Gaming / SK Gaming;Mittel
131;"Was bedeutet die Abkürzung ""RPG"" im Spielebereich?";Role-Playing Game (Rollenspiel);Einfach
132;Wie heißt der höchste Rang, den man im kompetitiven Modus von Valorant erreichen kann?;Radiant;Mittel
133;"Welcher eSport-Titel wird auf Schachtischen elektronisch als ""Auto-Battler"" gespielt und stammt von Riot Games?";Teamfight Tactics (TFT);Mittel
134;Welches Land dominierte die globale StarCraft: Brood War-Szene über zwei Jahrzehnte fast ausnahmslos?;Südkorea;Einfach
135;Wie nennt man im eSport das bewusste Abgeben von Map-Vorteilen, um an anderer Stelle ein größeres Ziel zu sichern?;Cross-Map Trade;Mittel
136;Welches Spiel knackte als erstes die Marke von über 100 Millionen gleichzeitig aktiven Spielern im Monat?;League of Legends;Mittel
137;Welcher Publisher kaufte im Jahr 2014 das Entwicklerstudio Mojang samt der Rechte an Minecraft?;Microsoft;Mittel
138;Wie heißt das legendäre Schwert, das Link in fast jedem The Legend of Zelda-Teil schwingt?;Master-Schwert;Einfach
139;"Was beschreibt die Abkürzung ""DPS"" im Kampfgeschehen?";Damage Per Second (Schaden pro Sekunde);Einfach
140;Welches rundenbasierte Strategiespiel lässt dich die Menschheitsgeschichte von der Antike bis zur Moderne durchspielen?;Sid Meier's Civilization;Mittel
141;Aus welchem Land stammt der eSport-Clan Natus Vincere ursprünglich?;Ukraine;Mittel
142;Welches Studio entwickelte die ursprüngliche Halo-Trilogie, bevor Microsoft das Franchise übernahm?;Bungie;Mittel
143;Wie nennt man den Spielmodus in Counter-Strike, bei dem man nach jedem Kill eine neue Waffe zugewiesen bekommt?;Wettrüsten (Arms Race / Gun Game);Einfach
144;Welcher League of Legends-Gegenstand entfernt alle Kontrolleffekte vom eigenen Champion und war essenziell für AD-Carrys?;Quecksilberschürze (QSS / Quicksilver Sash);Mittel
145;Wie viele Basis-Attribute besitzt ein Charakter im Klassiker Diablo II?;4 (Stärke, Geschicklichkeit, Vitalität, Energie);Mittel
146;Welches Team ist bekannt für das Logo mit dem brennenden Pferdekopf im internationalen eSport?;Team Liquid;Mittel
147;Wie heißt die fiktive Spielwelt, in der fast alle Hauptteile von Final Fantasy unabhängig voneinander spielen?;Jedes Spiel hat eine eigene Welt (z.B. Gaia, Spira, Eorzea);Mittel
148;Welcher Taktik-Shooter von Ubisoft setzt auf zerstörbare Wände und Gadgets wie Drohnen und Schilde?;Tom Clancy's Rainbow Six Siege;Einfach
149;Welcher Champion in LoL wirft Äxte, die er wieder auffangen muss, um seinen Schaden zu maximieren?;Draven;Mittel
150;Wie hieß die erste Heimkonsole von Sony, die 1994 den Markt revolutionierte?;PlayStation (PS1);Einfach
151;"Was versteht man unter dem Begriff ""Aggro"" inMMORPGs?";Die Aufmerksamkeit bzw. der Hass eines Monsters auf einen bestimmten Spieler;Einfach
152;"Welcher französische CS:GO-Spieler ging als ""The King of Banana"" in die Geschichte der Map Inferno ein?";NBK- (Nathan Schmitt);Mittel
153;Welche renommierte amerikanische Universität bot als erste Sportstipendien explizit für League of Legends-Spieler an?;Robert Morris University;Mittel
154;Welcher Begriff beschreibt das schnelle, fehlerfreie Nutzen von Fähigkeiten direkt nach dem Flashen in LoL?;Animation Canceling;Mittel
155;Wie viele Champion-Klassen unterscheidet man grob im klassischen Rollenspiel-Dreieck (Holy Trinity)?;3 (Tank, Heiler, Damage Dealer);Einfach
156;"Aus welchem Spiel stammt der bekannte ""G-Man"", der im Anzug die Fäden im Hintergrund zieht?";Half-Life;Mittel
157;Welcher eSportler hält den Rekord für die meisten gewonnenen Counter-Strike Majors als In-Game Leader?;gla1ve (4 Majors mit Astralis);Mittel
158;Wie heißt das eSport-Franchise-System der nordamerikanischen League of Legends-Liga?;LCS (League Championship Series);Mittel
159;Welches Rennspiel-Franchise von Sony gilt als die realistischste Fahrsimulation auf Konsolen?;Gran Turismo;Einfach
160;Welcher Held im Shooter Overwatch kann die Zeit zurückdrehen und ist das Gesicht des Spiels?;Tracer;Mittel
161;"Was beschreibt der ""Netcode"" in einem kompetitiven Online-Shooter?";Die Software-Architektur zur Synchronisation der Spielerbewegungen über das Internet;Mittel
162;"Welches MMORPG aus Südkorea ist berühmt für sein extrem actionreiches Kampfsystem und die ""Black Desert""?";Black Desert Online;Mittel
163;Wie nennt man die Taktik, bei der man in StarCraft extrem früh billige Einheiten baut, um den Gegner zu überrennen?;Rush (z.B. Zergling-Rush);Einfach
164;Wie hoch ist das maximale Startgeld, das ein Spieler in einer Standardrunde Counter-Strike 1.6 haben konnte?;16.000 $;Mittel
165;Welches Item gewährt in Dota 2 temporäre Immunität gegen die meisten Zaubersprüche und ist ein absolutes Kern-Item?;Black King Bar (BKB);Mittel
166;Wie hieß das ikonische schwedische Duo, das jahrelang die Bot-Lane von G2 Esports in LoL dominierte?;Zven und Mithy (Hinweis: Zven ist Däne, Mithy Spanier - Korrektur: Rekkles und Hylissang bei Fnatic);Mittel
167;Wie nennt man die Position im eSport, die für die Analyse der Gegner und das Ausarbeiten von Taktiken abseits des Servers zuständig ist?;Analyst / Coach;Einfach
168;"Welches Indie-Spiel rund um ein kleines Insekt im verfallenen Königreich ""Heilandsnest"" gilt als Metroidvania-Meisterwerk?";Hollow Knight;Mittel
169;Wie heißt das fiktive Element, das in der Mass Effect-Reihe interstellare Reisen ermöglicht?;"Element Zero (""Eezo"")";Mittel
170;Welches Studio entwickelte den extrem schweren eSport-Plattformer Cuphead im klassischen 1930er-Cartoon-Stil?;Studio MDHR;Mittel
171;"Welches Team gewann das historisch tränenreiche ""Incredible Miracle"" im koreanischen StarCraft-Bereich?";LG-IM;Schwer
172;"Welches eSport-Event im Jahr 2000 in Seoul gilt als das erste offizielle ""World Cyber Games"" (WCG) Turnier?";WCG Challenge Tournament 2000;Schwer
173;Wie lautet der exakte Name des ersten Boss-Gegners, den man im ursprünglichen Dota-Modifikations-Code besiegen konnte?;Tael (Roshan kam erst später);Schwer
174;"Welcher Counter-Strike Spieler erzielte den legendären ""KQLY-Shot"" mit einer USP-S im Sprung auf der Map Dust II?";KQLY (Hovik Tovmassian);Schwer
175;Wie heißt das mathematische System zur Berechnung der Elo-Zahl, das ursprünglich für Schach entwickelt wurde, aber fast allen eSport-Ranglisten zugrunde liegt?;Arpad-Elo-System;Schwer
176;Welches Team hielt 2018 die längste ungeschlagene Match-Serie in der Geschichte der Overwatch League (28 Siege)?;Vancouver Titans (oder New York Excelsior);Schwer
177;Wie hieß der Software-Bug im Klassiker Quake III Arena, der es Spielern erlaubte, durch diagonales Springen unendlich Beschleunigung aufzubauen?;Strafe-Jumping (Defrag);Schwer
178;Welcher League of Legends-Gegenstand wurde im Jahr 2018 aus dem Spiel entfernt, weil er Junglern kostenlose Sicht-Wards gab?;Tracker's Knife (Messer des Fährtenlesers);Schwer
179;"Welches südkoreanische StarCraft-Team wurde von der Fluggesellschaft ""Air Force"" betrieben, um eSportlern den Militärdienst zu ermöglichen?";Air Force ACE;Schwer
180;Wie heißt die Engine-Modifikation von Valve, welche die Tickrate von Counter-Strike 2 unabhängig von 64 oder 128 Ticks berechnet?;Sub-tick System;Schwer
181;Welcher dänische eSportler gewann als erster Spieler weltweit über 5 Millionen Dollar reines Preisgeld in Dota 2?;N0tail;Schwer
182;Wie hieß das berüchtigte amerikanische Team, das beim CPL Summer 2004 im Finale gegen Eyeballers verlor?;Team 3D;Schwer
183;"Welcher League of Legends-Profi gilt als Erfinder des ""Insec-Kicks"" mit dem Champion Lee Sin?";InSec (Choi In-seok);Schwer
184;"Welches Major-Turnier im Jahr 2014 gilt aufgrund des ""Olofboosts"" auf Overpass als das umstrittenste der CS:GO-Geschichte?";DreamHack Winter 2014;Schwer
185;Wie hieß die erste weibliche eSport-Spielerin, die ein großes internationales StarCraft II-Turnier (IEM PyeongChang 2018) gewann?;Scarlett (Sasha Hostyn);Schwer
186;Welches System nutzt der Taktik-Shooter Valorant als Kernel-Treiber-basierten Kopier- und Anti-Cheat-Schutz?;Vanguard;Schwer
187;"Welcher StarCraft-Profi hatte den treffenden Spitznamen ""The Tyrant"" für sein extrem aggressives Zerg-Playstyle?";Jaedong (Lee Jae-dong);Schwer
188;Welcher Champion hatte vor seinem vollständigen Rework in LoL die passive Fähigkeit, getötete Vasallen als permanente Angriffskraft (AD) zu stacken?;Sion;Schwer
189;Wie hieß der legendäre Austragungsort der ersten weltweiten eSport-Meisterschaften der CPL (Cyberathlete Professional League)?;Dallas, Texas;Schwer
190;Wie nannte man das Phänomen im klassischen DotA Allstars, bei dem zwei exakt zeitgleiche Zauber den Server abstürzen ließen?;Fatal Error Bug;Schwer
191;Welcher CS:GO-Spieler war der erste, der vom HLTV-Magazin dreimal zum besten Spieler des Jahres gewählt wurde?;s1mple (Oleksandr Kostyliev);Schwer
192;"Wie hieß das Entwicklerstudio, das vor Riot Games das Konzept von League of Legends unter dem Namen ""Loco"" pitchte?";GoA;Schwer
193;"Welches Team verlor im ""Naniwa-Protest-Match"" der GSL absichtlich mit Workern, was zu einem riesigen Skandal führte?";Quantic Gaming (Naniwa);Schwer
194;Wie hieß das allererste internetfähige Strategiespiel von Westwood Studios, das 1995 den Grundstein für Online-Ligen legte?;Command & Conquer: Der Tiberiumkonflikt;Schwer
195;"Welches Rüstungsset in World of Warcraft (Klassik) war als ""Tier 3"" bekannt und konnte nur in der schwebenden Festung Naxxramas erbeutet werden?";T3-Set;Schwer
